"Site","Years_of_Data"
"3 Palms East",10
"3 Palms West",10
"Bunker Point",10
"Burial Grounds",10
"Cape Point",10
"Hawthorne Reef",10
"Honeymoon Cove",10
"KOU Rock",10
"Lunada Bay",10
"Old 18th",10
"Resort Point",10
"Ridges North",10
"Rocky Point North",10
"Rocky Point South",10
