"Site","Years_of_Data"
"3 Palms East",13
"3 Palms West",12
"Bunker Point",14
"Burial Grounds",10
"Cape Point",10
"Hawthorne Reef",16
"Honeymoon Cove",14
"KOU Rock",15
"Lunada Bay",13
"Old 18th",11
"Resort Point",15
"Ridges North",16
"Rocky Point North",16
"Rocky Point South",15
