"Site_Category","Species","Site","Site_Mean_Wasting Event","Site_Mean_Post-Wasting Recovery","Site_Mean_Pre-Wasting","stdev_Wasting Event","stdev_Post-Wasting Recovery","stdev_Pre-Wasting","prop_baseline"
"PVR&Adj","Mesocentrotus franciscanus","3 Palms West",3.47222222222222,12.0833333333333,9.58333333333331,5.12916889866013,16.8717540479964,4.43202630213958,1.26086956521739
"PVR&Adj","Patiria miniata","3 Palms West",1.66666666666667,7.60416666666667,16.6666666666667,2.50603137185371,10.5738146170413,15.6347191994114,0.45625
"PVR&Adj","Pisaster giganteus","3 Palms West",0,0.0520833333333334,2.91666666666667,0,0.292280156005085,3.42145425314283,0.0178571428571429
"PVR&Adj","Strongylocentrotus purpuratus","3 Palms West",0,1.19791666666667,8.33333333333333,0,2.7931124345988,9.25820099772551,0.14375
"Non-MPA","Mesocentrotus franciscanus","Albondigas",212.777777777778,65.0980392156862,93.7499999999999,173.757251623012,42.075651717107,79.2261681156277,0.694379084967321
"Non-MPA","Patiria miniata","Albondigas",8.88888888888889,4.60784313725491,72.4999999999999,14.7595771567182,6.71771896322886,43.2508372246701,0.063556457065585
"Non-MPA","Pisaster giganteus","Albondigas",0.277777777777778,1.42156862745098,19.5833333333334,0.648749120134604,1.69830341867452,8.20133554745232,0.0725907384230288
"Non-MPA","Pisaster ochraceus","Albondigas",0,0.0980392156862747,0.416666666666668,0,0.398054289351022,0.771516749810461,0.235294117647059
"Non-MPA","Strongylocentrotus purpuratus","Albondigas",123.055555555556,103.921568627451,65.4166666666666,85.9787186886387,176.802350389322,62.8979395024256,1.58860996627951
"PVR&Adj","Mesocentrotus franciscanus","Bunker Point",2.08333333333333,2.29166666666667,33.8888888888889,2.95020401052261,4.33902759772591,27.0925586463651,0.0676229508196721
"PVR&Adj","Patiria miniata","Bunker Point",0.833333333333334,5.72916666666667,16.3888888888889,1.72132593164774,8.66725171000506,8.84300023739981,0.349576271186441
"PVR&Adj","Pisaster giganteus","Bunker Point",0,0,5.83333333333333,0,0,3.29523684408054,0
"PVR&Adj","Strongylocentrotus purpuratus","Bunker Point",1.66666666666667,0.989583333333334,6.66666666666667,3.33333333333333,3.24918589722241,7.78498944161523,0.1484375
"Non-MPA","Mesocentrotus franciscanus","Cairns",21.1111111111111,11.1458333333333,18.8888888888889,17.4695502284743,9.73193958818838,9.58393717904347,0.590073529411765
"Non-MPA","Patiria miniata","Cairns",1.38888888888889,2.91666666666667,14.1666666666667,2.6701366312662,2.75546594836383,10.0415802209281,0.205882352941176
"Non-MPA","Pisaster giganteus","Cairns",0,0.416666666666667,15,0,0.962250448649376,10.6978710239208,0.0277777777777778
"Non-MPA","Pisaster ochraceus","Cairns",0,0,0.833333333333333,0,0,1.39443337755679,0
"Non-MPA","Strongylocentrotus purpuratus","Cairns",11.1111111111111,3.4375,220.277777777778,13.8510595931088,4.69312933584437,360.406277949185,0.0156052963430013
"Non-MPA","Mesocentrotus franciscanus","Christmas Tree Cove",20.5555555555556,28.4375,13.75,28.4149152278765,14.5991977202199,10.6610228124419,2.06818181818182
"Non-MPA","Patiria miniata","Christmas Tree Cove",4.72222222222222,7.5,132.916666666667,7.10372880696911,8.09663853432741,32.1563023026245,0.0564263322884012
"Non-MPA","Pisaster giganteus","Christmas Tree Cove",0.277777777777778,0.520833333333334,5.41666666666667,0.680413817439773,1.32200044825453,3.43592135468138,0.0961538461538462
"Non-MPA","Strongylocentrotus purpuratus","Christmas Tree Cove",33.8888888888889,22.3958333333333,118.75,16.7553197743505,41.7841399558715,183.557312676551,0.18859649122807
"PVR-Control","Mesocentrotus franciscanus","Hawthorne Reef",18.3333333333333,10.46875,7.85714285714285,26.2006379684101,11.9834863962084,14.9955901807073,1.33238636363636
"PVR-Control","Patiria miniata","Hawthorne Reef",30.4166666666667,25.8854166666667,93.9285714285715,24.5355406221911,31.6868061132366,47.4866545812158,0.27558618504436
"PVR-Control","Pisaster giganteus","Hawthorne Reef",0.277777777777778,0.15625,5,0.634489156355735,0.489641376160837,3.57172250407146,0.0312500000000001
"PVR-Control","Strongylocentrotus purpuratus","Hawthorne Reef",17.7777777777778,8.07291666666665,0.357142857142857,32.7435750480046,20.3197950202481,0.946853448051496,22.6041666666666
"PVR-Control","Mesocentrotus franciscanus","Honeymoon Cove",34.4791666666667,23.4313725490196,10.4166666666667,41.0992275520641,18.083742808811,6.36832439151427,2.24941176470588
"PVR-Control","Patiria miniata","Honeymoon Cove",20.7291666666667,16.3235294117647,44.375,16.7628274319264,15.4521645199744,26.3725095366228,0.367854183927092
"PVR-Control","Pisaster giganteus","Honeymoon Cove",0.104166666666667,0.53921568627451,3.75,0.409891147364972,1.16759651894838,2.39598429476087,0.143790849673203
"PVR-Control","Strongylocentrotus purpuratus","Honeymoon Cove",26.9791666666667,17.0833333333333,26.6666666666667,32.950591610094,30.7458082731315,33.6209811036259,0.640625
"PVR&Adj","Mesocentrotus franciscanus","KOU Rock",4.72222222222222,11.6145833333333,3.78787878787879,6.01260083159229,12.5109079390873,3.49534150225871,3.06625
"PVR&Adj","Patiria miniata","KOU Rock",4.02777777777778,19.4791666666667,19.3939393939394,3.7724102249082,15.2373201687805,10.6476200801782,1.00439453125
"PVR&Adj","Pisaster giganteus","KOU Rock",0,0.15625,6.36363636363636,0,0.489641376160837,2.50060117831818,0.0245535714285715
"MPA","Mesocentrotus franciscanus","Long Point East",12.3611111111111,16.9791666666667,9.02777777777778,15.3770381129531,19.1229084111777,12.8435087334479,1.88076923076923
"MPA","Patiria miniata","Long Point East",10.6944444444444,13.6979166666667,39.8611111111111,15.4240907832369,13.9584567237695,21.2013390942196,0.343641114982578
"MPA","Pisaster giganteus","Long Point East",0,0.260416666666667,5.69444444444445,0,0.740534032004823,3.64210040088308,0.0457317073170732
"MPA","Pisaster ochraceus","Long Point East",0,0,0.138888888888889,0,0,0.470549752144401,0
